,Unnamed: 0,area,circumferfence,short dia,long dia,png_name,Count,aspect,labels
27,27,164.15002609354326,91.07068797104913,13.486205339431764,15.462930917739868,reshape-2n1062,4,0.12783641011034347,2
28,28,146.864875711416,86.38038055218632,12.585726928710937,14.837421417236328,reshape-2n1063,5,0.15175780381284068,2
29,29,156.66202220167756,87.42178365387433,12.75041332244873,15.022310638427737,reshape-2n1064,5,0.15123487795328847,2
30,30,58.6637378578925,54.74812419969289,7.784244537353516,9.595406532287598,reshape-2n1065,1,0.18875302352638215,2
31,31,189.8542965343549,97.23517301343136,13.684201002120972,17.151753664016724,reshape-2n1066,4,0.2021689869048466,2
32,32,172.5747872397239,93.54688373225356,13.533459186553957,16.183473587036133,reshape-2n1067,2,0.16374818336929753,2
33,33,188.422900803799,96.29513090870468,13.455038070678713,17.07956463950021,reshape-2n1068,7,0.2122142247372623,2
34,34,73.499532730998,60.16821548433335,8.848191857337952,10.273412227630615,reshape-2n1069,4,0.13872901609647237,2
35,35,225.72953765946815,106.75570284440542,15.802397918701171,18.13149738311768,reshape-2n106,5,0.12845599098644458,2
36,36,44.210721779886185,47.23841734150041,7.120903611183167,7.899871230125427,reshape-2n1070,4,0.09860510333025924,2
37,37,63.409032504731165,56.59171494380571,8.2164067029953,9.761364459991457,reshape-2n1071,4,0.1582727254297714,2
38,38,66.24847092643834,58.00376442153805,8.437138652801513,9.985501670837404,reshape-2n1072,5,0.1550611145114397,2
39,39,226.6713384070192,106.47501781478417,14.61299482981364,19.1245174407959,reshape-2n1073,3,0.23590255936907464,2
40,40,206.24303538429265,99.8067504194956,14.233559846878052,17.445730686187744,reshape-2n1074,4,0.18412360577438322,2
41,41,212.7076236523832,103.80713619317842,15.127922821044924,17.852977752685547,reshape-2n1075,5,0.15263867851012722,2
42,42,200.98387541222343,99.25952630636948,14.364801406860352,17.144724369049072,reshape-2n1076,4,0.16214451176638592,2
43,43,331.2200703130576,130.52816600075295,18.25213432312012,23.13779640197754,reshape-2n1077,2,0.2111550293717621,2
44,44,363.0336815392572,135.5601959173827,19.50676186879476,23.532209396362305,reshape-2n1078,6,0.17106118085919342,2
45,45,260.3981144879233,114.29835845027736,17.005027770996094,19.33299207687378,reshape-2n1079,4,0.12041407230815596,2
46,46,219.1906512710449,105.71823617977373,15.26267604827881,18.293855285644533,reshape-2n107,5,0.16569384583162938,2
47,47,319.35819498842466,126.38398877107836,18.889523315429688,21.288731384277344,reshape-2n1080,5,0.11269849882269528,2
48,48,282.0227870559109,120.29775129156842,17.12015495300293,21.02371292114258,reshape-2n1081,5,0.18567405209448135,2
49,49,301.10389216932293,123.51036051783689,18.12085215250651,21.1271022160848,reshape-2n1082,6,0.14229353523407132,2
50,50,339.5102556047748,132.00586896050038,18.426814397176106,23.43804168701172,reshape-2n1083,3,0.2138074228536168,2
51,51,326.4276402403115,128.738243692266,18.7651309967041,22.142155170440677,reshape-2n1084,4,0.15251560418313903,2
52,52,347.60993042876726,133.29360053828,18.857402324676517,23.43209409713745,reshape-2n1085,4,0.19523187955359886,2
53,53,304.3479119006598,124.45272027548368,17.843382596969604,21.653998851776123,reshape-2n1086,4,0.1759774848465904,2
54,54,329.3041044419414,129.6804700161149,18.441399574279785,22.711665630340576,reshape-2n1087,4,0.1880208226716816,2
55,55,286.8580319152797,120.2164571172874,17.45659852027893,20.73785161972046,reshape-2n1088,4,0.15822531473420576,2
56,56,238.96270157134967,109.0513525378998,15.505797386169434,19.10080051422119,reshape-2n1089,5,0.1882121707608619,2
57,57,223.91876229963856,106.41410692466464,15.13955783843994,18.630860900878908,reshape-2n108,5,0.1873935445610174,2
58,58,264.3905069843688,116.59852057870408,16.229129791259766,20.742340087890625,reshape-2n1090,2,0.21758443249446435,2
59,59,305.7597672356158,127.39621136972328,16.51643721262614,23.669361750284832,reshape-2n1091,3,0.30220183430052205,2
60,60,324.87175835509726,129.59642946742412,17.58354091644287,23.44350814819336,reshape-2n1092,2,0.24996119158907018,2
61,61,354.89989735017934,134.24097726118768,19.565412521362305,23.081768035888672,reshape-2n1093,3,0.15234342139904378,2
62,62,336.64440499391594,133.66240471750348,17.224704424540203,24.93706067403157,reshape-2n1094,3,0.30927286701125517,2
